country_code,country_name,disbursements_90d_usd,disbursements_365d_usd,funders_90d,funders_365d,total_activities,active_activities,stale_activities,new_starts,ending_soon,quiet_funders,world_bank_projects
CK,Cook Islands,1105153.42,14747158.64,5,8,451,104,21,0,13,3,0
FJ,Fiji,43663041.24,217529233.88,17,33,2581,660,163,9,121,16,30
FM,Micronesia,3344631.75,49382559.67,7,10,1620,175,58,0,30,3,16
KI,Kiribati,10404001.25,94746722.55,14,20,1042,294,68,3,34,6,30
MH,Marshall Islands,14561891.54,69455498.77,9,13,1167,160,61,1,27,4,21
NR,Nauru,-14094.15,7759978.42,4,5,455,131,31,0,20,1,0
NU,Niue,624509.23,8911122.17,2,3,418,108,20,1,14,1,0
PG,Papua New Guinea,63809113.84,639880627.15,17,31,3195,761,243,7,111,14,91
PW,Palau,184833.9,5985876.02,6,10,608,128,47,0,18,4,3
SB,Solomon Islands,28204019.77,152126766.97,14,27,1784,449,121,12,53,13,49
TO,Tonga,11197628.6,83176903.68,8,18,1283,291,83,0,41,10,42
TV,Tuvalu,4887951.67,70210457.16,10,13,711,212,52,0,24,4,21
VU,Vanuatu,13485776.22,96880453.93,13,24,1709,388,113,8,40,11,20
WS,Samoa,9901992.4,56285365.23,11,17,1396,337,99,2,43,6,45
