country_code,country_name,funder_ref,funder_name,latest_transaction_date,age_days,lifetime_usd
CK,Cook Islands,NZ-1,New Zealand Ministry of Foreign Affairs and Trade,2026-08-04,43,363028339.15
CK,Cook Islands,XM-DAC-46004,Asian Development Bank,2026-07-31,47,146283095.2
CK,Cook Islands,AU-5,Australian Aid,2020-06-30,2269,41671778.32
CK,Cook Islands,XM-DAC-41317,Green Climate Fund,2026-04-08,161,16212060.8
CK,Cook Islands,XI-BRIDGE-6385676864,Global Environment Facility,2025-11-14,306,11552535.0
CK,Cook Islands,47111,Adaptation Fund,2012-04-02,5280,1653620.0
CK,Cook Islands,XI-IATI-UNPF,UN Pooled Funds,2022-12-31,1355,1646614.66
CK,Cook Islands,XM-DAC-41301,Food and Agriculture Organization (FAO),2026-08-31,16,1605611.98
CK,Cook Islands,XM-DAC-928,World Health Organization,2026-08-04,43,1259337.56
CK,Cook Islands,XM-DAC-41116,UN Environment Programme,2025-05-01,503,533318.85
FJ,Fiji,AU-5,Australia Aid,2025-06-30,443,914101649.88
FJ,Fiji,XM-DAC-46004,Asian Development Bank,2026-07-31,47,795786208.5
FJ,Fiji,44000,World Bank,2026-05-31,108,607267382.0
FJ,Fiji,XM-DAC-41122,UNICEF,2026-07-31,47,497581716.0
FJ,Fiji,NZ-1,New Zealand Ministry of Foreign Affairs and Trade,2026-08-04,43,354192526.73
FJ,Fiji,XM-DAC-41114,United Nations Development Programme,2026-09-07,9,201061783.0
FJ,Fiji,US-GOV-1,U.S. Agency for International Development,2026-06-30,78,66352226.12
FJ,Fiji,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,2026-08-26,21,45017108.27
FJ,Fiji,XM-DAC-41317,Green Climate Fund,2026-04-24,145,41400417.17
FJ,Fiji,XM-DAC-41111,United Nations Capital Development Fund (UNCDF),2025-12-31,259,34675274.83
FM,Micronesia,US-GOV-9,Department of the Interior,2025-06-26,447,1850348379.85
FM,Micronesia,44000,World Bank,2026-06-30,78,180031960.0
FM,Micronesia,US-GOV-1,U.S. Agency for International Development,2026-06-30,78,123669613.81
FM,Micronesia,AU-5,Australia Aid,2025-06-30,443,75467660.14
FM,Micronesia,XM-DAC-46004,Asian Development Bank,2026-07-31,47,64516307.17
FM,Micronesia,NZ-1,New Zealand Ministry of Foreign Affairs and Trade,2026-08-04,43,15158899.95
