country_code,country_name,disbursements_90d_usd,disbursements_365d_usd,funders_90d,funders_365d,total_activities,active_activities,stale_activities,new_starts,ending_soon,quiet_funders,world_bank_projects
CK,Cook Islands,771680.27,13184417.86,5,7,451,104,21,0,13,2,0
FJ,Fiji,45626966.28,218840026.47,17,33,2577,659,160,8,119,16,30
FM,Micronesia,3412497.77,49616796.51,7,10,1624,182,55,0,30,3,16
KI,Kiribati,10377776.43,94879129.29,13,20,1038,293,65,3,35,7,30
MH,Marshall Islands,14578980.2,69524454.61,9,13,1164,160,58,1,27,4,21
NR,Nauru,-61989.26,7747453.33,4,5,452,131,28,0,20,1,0
NU,Niue,483369.18,7955058.41,2,3,415,108,17,1,14,1,0
PG,Papua New Guinea,44137913.45,638475299.51,16,31,3195,762,240,6,117,15,91
PW,Palau,201904.68,5690089.97,6,10,608,128,47,0,18,4,3
SB,Solomon Islands,18709838.5,153262634.67,14,28,1781,449,118,9,53,14,49
TO,Tonga,4810409.39,83224234.26,8,18,1279,290,80,0,42,10,42
TV,Tuvalu,4846405.04,66925918.79,10,13,707,211,49,0,24,4,21
VU,Vanuatu,13409975.25,96890446.02,12,24,1705,387,110,7,41,12,20
WS,Samoa,9388177.3,56427995.9,11,17,1392,336,96,2,44,6,45
