id,title,section,status
DFAT-1075,Laos-Australia Agriculture Resilience Initiative,In the market,"The Request for Tender has been released to the shortlisted organisations and will close on 24 September 2026. Shortlisted: Adam Smith International, Cowater International, Palladium International Pty ltd, Research Triangle Institute, TAG International Development, Tetra Tech International Development, The Cadmus Group, UNFAO Food and Agriculture Organization of the United Nations, and Winrock Institute for Agricultural Development."
DFAT-1077,Pacific Women Lead Enabling Services (PWLES),In the market,"The Request for Tender has been released to the shortlisted organisations and will close on 22 September 2026. Shortlisted: Alinea International Pty Ltd, Banyan Global, Inc, Cowater International Inc., DT Global Asia Pacific Pty Ltd, and Tetra Tech International Development Pty Ltd."
DFAT-1082,Laos Australia Institute Phase IV,In the market,"The Request for Tender has been released to the shortlisted organisations and will close on 1 October 2026 Shortlisted: Abt Associates Pty Ltd, Inno-Change International Consultants, Inc, Palladium International Pty Ltd, and Tetra Tech International Development Pty Ltd. Further information is available on the Business Notifications page."
DFAT-1110,Western Province Partnership Mid-Term Review,In the market,The Request for Tender was released on AusTender and closes on 28 September 2026.
DFAT-1111,Mid-Term Review of the Climate Resilient Communities Program,In the market,The Request for Tender was released on AusTender and closes on 21 September 2026.
DFAT-1112,Design of Investing in Education Program,In the market,The Request for Tender was released on AusTender and closes on 25 September 2026.
DFAT-1039,PNG Economic and Social Infrastructure Program (ESIP 2),In Collaboration,"Shortlisted: Abt Global, Chemonics Australia, DT Global Asia Pacific, Palladium International, SMEC International and Tetra Tech International Development. Further information is available on the Business notifications page."
DFAT-1067,Pacific-Australia Sport: Community (PASC),In Collaboration,The Request for Expressions of Interest closed on 23 July 2026 and responses are being evaluated. Further information is available on the Business notifications page.
DFAT-1045,South Asia Regional Infrastructure and Connectivity (SARIC) Phase 2,Closed,The Request for Tender to shortlisted organisations closed on 24 June 2026 and responses are being evaluated.
DFAT-1050,DEV+ Panel,Closed,The Request for Tender closed on 27 November 2025. Evaluation has concluded and supplier onboarding is underway. Further information is available on the Business notifications page.
DFAT-1057,Vanuatu-Australia Education and Skills Partnership Program,Closed,The Request for Tender closed on 19 August 2026 and responses are being evaluated.
DFAT-1062,Timor-Leste Partnership for Private Sector Development,Closed,Evaluation has concluded. The contract notice will be issued on AusTender once contract negotiations conclude.
DFAT-1083,North Pacific Connector,Closed,Evaluation has concluded. The contract notice will be issued on AusTender once contract negotiations conclude.
DFAT-1085,Humanitarian Deployable Power Restoration Capability,Closed,Evaluation has concluded. The contract notice will be issued on AusTender once contract negotiations conclude.
DFAT-1086,Governance Helpdesk,Closed,The Request for Tender to shortlisted organisations closed on 11 August 2026 and responses are being evaluated.
DFAT-1087,Pacific Security College Phase 2,Closed,Evaluation has concluded. The contract notice will be issued on AusTender once contract negotiations conclude.
DFAT-1091,Primary Health Care for Papua New Guinea (PHC4PNG),Closed,The Request for Tender closed on 8 September 2026 and responses are being evaluated.
DFAT-1104,Design for new Indonesia Disaster Risk Management Investment,Closed,Evaluation has concluded. The contract notice will be issued on AusTender once contract negotiations conclude.
DFAT-1108,Mid-Term Review of the PNG Transport Sector Support Program Phase 3 (TSSP3),Closed,The Request for Tender closed on 15 September 2026 and responses are being evaluated.
DFAT-1064,Timor-Leste Labour Mobility and Skills Support Program,Planned,DFAT anticipates approaching the market through a procurement process to be advertised on AusTender in the third quarter of 2026. Further Information is available on the Business notifications page.
DFAT-1065,Australia Awards Scholarships – Partnerships with Education Institutions,Planned,DFAT anticipates approaching the market through a one-step procurement process to be advertised on AusTender in the first quarter of 2027. Further information is available on the Business Notifications page.
DFAT-1078,Vanuatu Australia Health Partnership,Planned,DFAT anticipates approaching the market through a two-step procurement process to be advertised on AusTender in the fourth quarter of 2026.
DFAT-1090,Development Economics and Finance Technical Assistance Program (DEF-TAP),Planned,DFAT anticipates approaching the market through a procurement process to be advertised on AusTender in the fourth quarter of 2026. Further Information is available on the Business notifications page.
DFAT-1096,Australian Volunteers Program,Planned,DFAT anticipates approaching the market through a two-step procurement process to be advertised on AusTender in the third quarter of 2026. Further information is available on the Business notifications page.
DFAT-1097,Southeast Asia Maritime Support Unit,Planned,DFAT anticipates approaching the market through a two-step procurement process to be advertised on AusTender in the third quarter of 2026. Further information is available on the Business notifications page.
DFAT-1100,Strongim Ekonomi (Strengthening the Economy) for Solomon Islands,Planned,DFAT anticipates approaching the market through a two-step procurement process to be advertised on AusTender in the fourth quarter of 2026. Further information is available on the Business Notifications page.
DFAT-1102,PNG Partnerships for Improving Education Phase 2,Planned,DFAT anticipates approaching the market through a two-step procurement process to be advertised on AusTender in the fourth quarter of 2026.
DFAT-1105,"Philippines - Harnessing Agricultural Resilience, Value Chains, and Enterprise for Sustainable Transformation (HARVEST)",Planned,DFAT anticipates approaching the market through a two-step procurement process to be advertised on AusTender in the fourth quarter of 2026. Further information is available on the Business Notifications page.
DFAT-1106,Australian Infrastructure Financing Facility for the Pacific (AIFFP) Support Facility,Planned,DFAT anticipates approaching the market through a two-step procurement process to be advertised on AusTender in the fourth quarter of 2026. Further information is available on the Business Notifications page.
DFAT-1113,"PNG Health Program Enhanced National Advice, Bilateral Partnership, and Learning and Evidence (ENABLE)",Planned,DFAT anticipates approaching the market through a two-step procurement process to be advertised on AusTender in the fourth quarter of 2026.
