country_code,country_name,project_id,project_name,amount_usd
FJ,Fiji,P500636,Fiji Second Growth and Resilience Development Policy Financing,
FJ,Fiji,P180979,Fiji Critical Bridges Resilience Project,50000000.0
FM,Micronesia,P178237,Pacific Islands Regional Oceanscape Program - Second Phase for Economic Resilience: Federated States of Micronesia (FSM PROPER),56000000.0
FM,Micronesia,P181253,Access and Renewable Increase for Sustainable Energy,42000000.0
FM,Micronesia,P181030,Food and Agriculture Systems Transformation Project,10000000.0
FM,Micronesia,P181237,Strengthening Public Financial Management II Project,13000000.0
FM,Micronesia,P181342,Federated States of Micronesia Maritime Investment Project II,13000000.0
KI,Kiribati,P506425,Kiribati Kiritimati Infrastructure Project,
KI,Kiribati,P506508,Kiribati DPO2,
KI,Kiribati,P506120,Kiribati Health Project,15000000.0
KI,Kiribati,P505401,Kiritimati Sustainable Development Platform,10000000.0
MH,Marshall Islands,P181250,Renewable Energy Generation and Access Increase Project,60000000.0
MH,Marshall Islands,P175181,RMI First Enhancing Sustainability Development Policy Operation with a Catastrophe-Deferred Drawdown Option,21000000.0
MH,Marshall Islands,P181252,RMI Strengthening Public Financial Management II,10000000.0
PG,Papua New Guinea,P173194,National Energy Access Transformation Project,200000000.0
PG,Papua New Guinea,P505529,Learning Enhancement and Access Program,75000000.0
PG,Papua New Guinea,P180499,PNG Resilient Transport Project II,30000000.0
PW,Palau,P180227,Palau Blue Prosperity,10000000.0
SB,Solomon Islands,P181295,Community Access and Urban Services Enhancement Project II,20200000.0
SB,Solomon Islands,P181397,The Second Solomon Islands Resilience Development Policy Operation with a Policy-Based Guarantee,15000000.0
SB,Solomon Islands,P181585,Second Solomon Islands Roads and Aviation Project - Additional Financing,51200000.0
SB,Solomon Islands,P181212,Sustainable Transport and Agriculture for Rural Transformation Project,30000000.0
TO,Tonga,P181090,Second Additional Financing for Tonga Safe and Resilient Schools Project,15000000.0
TO,Tonga,P180965,Health Enhancement and Resiliency in Tonga Project,30000000.0
TO,Tonga,P180863,"Tonga Second Fiscal, Disaster, and Climate Resilience Development Policy Operation",10000000.0
TV,Tuvalu,P506356,Tuvalu Second Climate and Disaster Resilience Development Policy Financing,
VU,Vanuatu,P506285,VAN DPF Cat DDO,
VU,Vanuatu,P509024,Vanuatu: Pacific Islands Regional Oceanscape Program,
VU,Vanuatu,P178105,Vanuatu: Pacific Islands Regional Oceanscape Program - 1st Phase,46500000.0
WS,Samoa,P180807,Digitally Connected and Resilient Samoa Project,20050000.0
WS,Samoa,P181456,Samoa Finance Sector Resilience and Development Project,21000000.0
WS,Samoa,P507749,PREPARE-Samoa,
WS,Samoa,P506151,Samoa Second Recovery and Resilience Development Policy Operation with a Catastrophe Deferred Drawdown Option,30000000.0
