country_code,country_name,activity_id,organisation,title,start_date,end_date,spend_usd
CK,Cook Islands,NZ-1-ACT-0101634,New Zealand Ministry of Foreign Affairs and Trade,CCP - Access to Finance,,2027-02-01,6073648.5
CK,Cook Islands,NZ-1-ACT-0101226,New Zealand Ministry of Foreign Affairs and Trade,Climate Change Programme - Climate Information for Decision Making,,2026-10-31,3522881.56
CK,Cook Islands,XM-DAC-41317-FP036,Green Climate Fund,Pacific Islands Renewable Energy Investment Program,,2026-09-30,2428450.0
CK,Cook Islands,NZ-1-ACT-0100216,New Zealand Ministry of Foreign Affairs and Trade,Pacific Maritime Safety Programme Phase 3 + 4,,2026-11-30,2186970.59
CK,Cook Islands,NZ-1-ACT-0102286,New Zealand Ministry of Foreign Affairs and Trade,Pacific Digital Economy Programme,,2027-03-01,1818439.4
CK,Cook Islands,NZ-1-ACT-0102034,New Zealand Ministry of Foreign Affairs and Trade,Pacific Justice Sector 2021-2026,,2026-11-30,620556.55
CK,Cook Islands,NZ-1-ACT-0100405,New Zealand Ministry of Foreign Affairs and Trade,ADB Pacific Private Sector Development Initiative Phase IV,,2026-10-31,127624.94
CK,Cook Islands,GB-COH-00070527-IGC-P3,London School of Economics and Political Science,IGC Phase III,,2026-09-30,93720.55
CK,Cook Islands,NZ-1-ACT-0104607,New Zealand Ministry of Foreign Affairs and Trade,FY25-26 Pacific Diplomatic Training In-Country & In-Region,,2026-12-20,61733.76
CK,Cook Islands,XM-DAC-41301-760000,Food and Agriculture Organization (FAO),"Restoring Biodiversity and Cultural Resilience in the Cook Islands through Native Species Recovery, Invasive S",,2026-12-31,51796.39
CK,Cook Islands,XM-DAC-45001-C475,International Trade Centre (ITC),Pacific: EU-Pacific Business Forum,,2026-10-27,44776.08
CK,Cook Islands,NZ-1-ACT-0104606,New Zealand Ministry of Foreign Affairs and Trade,FY25-26 Pacific Infrastructure Project Management In Country,,2026-12-20,20745.34
