country_code,country_name,activity_id,organisation,title,start_date,end_date,spend_usd
FJ,Fiji,NZ-1-ACT-0103583,New Zealand Ministry of Foreign Affairs and Trade,Negotiated Partnerships: Tearfund New Zealand (TFNZ) - Phase 2,2026-06-23,,
FJ,Fiji,XM-DAC-41114-OUTPUT-01006260,United Nations Development Programme,PIMS-10535 PPG Climate Adaptation in the Rewa Delta (CARE),2026-08-05,,
FJ,Fiji,XM-DAC-41114-PROJECT-01006260,United Nations Development Programme,PIMS-10535 PPG Climate Adaptation in the Rewa Delta (CARE),2026-08-05,,
FJ,Fiji,XM-DAC-41114-OUTPUT-01006359,United Nations Development Programme,PIMS-10536 PPG Vaitupu Coastal Adaptation Project,2026-08-05,,
FJ,Fiji,XM-DAC-41114-OUTPUT-01006358,United Nations Development Programme,PIMS-10533 PPG Sustainable Climate Resilient Electric Power Systems in Vanuatu,2026-08-05,,
FJ,Fiji,XM-DAC-41114-OUTPUT-01006251,United Nations Development Programme,PIMS-10531 PPG_FSM-SCCF,2026-08-10,,
FJ,Fiji,XM-DAC-41114-PROJECT-01006251,United Nations Development Programme,PIMS-10531 PPG_FSM-SCCF,2026-08-10,,
FJ,Fiji,XM-DAC-41114-PROJECT-01006358,United Nations Development Programme,PIMS-10533 PPG Sustainable Climate Resilient Electric Power Systems in Vanuatu,2026-08-05,,
FJ,Fiji,XM-DAC-41114-PROJECT-01006359,United Nations Development Programme,PIMS-10536 PPG Vaitupu Coastal Adaptation Project,2026-08-05,,
KI,Kiribati,XM-DAC-41301-764023,Food and Agriculture Organization (FAO),Developing capacity for implementing the Kiribati National Crops and Livestock Survey 2027,2026-07-01,,
KI,Kiribati,NZ-1-ACT-0103580,New Zealand Ministry of Foreign Affairs and Trade,Negotiated Partnerships: UNICEF NZ - Phase 2,2026-06-26,,
KI,Kiribati,NZ-1-ACT-0104883,New Zealand Ministry of Foreign Affairs and Trade,MF7-04 Improving WaSH outcomes in Kiribati (Phase II),2026-08-03,,
MH,Marshall Islands,XM-DAC-41301-764063,Food and Agriculture Organization (FAO),Developing capacity for implementing the Republic of the Marshall Islands (RMI) Agriculture Survey 2027,2026-07-01,,
NU,Niue,NZ-1-ACT-0104719,New Zealand Ministry of Foreign Affairs and Trade,Niue Core and Sector Support 2026-27,2026-07-13,,
PG,Papua New Guinea,XM-DAC-903-SII-49799,International Finance Corporation,Dobel Project,2026-06-24,,
PG,Papua New Guinea,XM-DAC-41301-758196,Food and Agriculture Organization (FAO),All aboard for a Systematic Approach towards Pandemic Preparedness in PNG (ASAP - PNG),2026-08-01,,
PG,Papua New Guinea,XI-IATI-EC_INTPA-2026-PC-64428,European Commission - Directorate-General for International Partnerships,TECHNICAL ASSISTANCE FOR STATE AND RESILIENCE BUILDING CONTRACT (SRBC) BUDGET SUPPORT IN PAPUA NEW GUINEA,2026-07-01,,
PG,Papua New Guinea,FR-3-CZZ377501,AFD,Fonds de partenariat pour les écosystèmes critiques - renouvellement des contributions UE-AFD,2026-08-17,,
PG,Papua New Guinea,FR-3-CZZ377502,AFD,Fonds de partenariat pour les écosystèmes critiques - renouvellement des contributions UE-AFD,2026-08-17,,
PG,Papua New Guinea,XM-DAC-41301-764977,Food and Agriculture Organization (FAO),Emergency Preparedness and Response on El Nino in PNG,2026-07-29,,
PG,Papua New Guinea,FR-3-CZZ3775,AFD,Fonds de partenariat pour les écosystèmes critiques - renouvellement des contributions UE-AFD,2026-08-17,,
SB,Solomon Islands,XI-IATI-EC_INTPA-2026-PC-77058,European Commission - Directorate-General for International Partnerships,"Activity under preparation EU-Solomon Islands Partnership for a modern, green and competitive energy sector",2026-08-04,,
SB,Solomon Islands,FR-3-CZZ377501,AFD,Fonds de partenariat pour les écosystèmes critiques - renouvellement des contributions UE-AFD,2026-08-17,,
SB,Solomon Islands,NZ-1-ACT-0103583,New Zealand Ministry of Foreign Affairs and Trade,Negotiated Partnerships: Tearfund New Zealand (TFNZ) - Phase 2,2026-06-23,,
SB,Solomon Islands,XI-IATI-EC_INTPA-2026-PC-82204,European Commission - Directorate-General for International Partnerships,"Strengthening Participation and Representation of Civil Society (SPARC) in Climate Resilience, Adaptation and ",2026-06-30,,
SB,Solomon Islands,FR-3-CZZ377502,AFD,Fonds de partenariat pour les écosystèmes critiques - renouvellement des contributions UE-AFD,2026-08-17,,
SB,Solomon Islands,DE-1-202631422,Federal Ministry for Economic Cooperation and Development (BMZ),Promoting critical thinking and literacy skills in the Solomon Islands,2026-08-01,,
SB,Solomon Islands,XI-IATI-EC_INTPA-2026-PC-77937,European Commission - Directorate-General for International Partnerships,Expenditure Verification of contract 447723 - Strengthening the Electoral Cycle in the Solomon Islands (SECSIP,2026-07-16,,
SB,Solomon Islands,NZ-1-ACT-0103580,New Zealand Ministry of Foreign Affairs and Trade,Negotiated Partnerships: UNICEF NZ - Phase 2,2026-06-26,,
SB,Solomon Islands,FR-3-CZZ3775,AFD,Fonds de partenariat pour les écosystèmes critiques - renouvellement des contributions UE-AFD,2026-08-17,,
SB,Solomon Islands,XI-IATI-EC_INTPA-2026-PC-77059,European Commission - Directorate-General for International Partnerships,"Activity under preparation Technical assistance to support EU-Solomon Islands Partnership for a modern, green ",2026-08-31,,
VU,Vanuatu,FR-3-CZZ377501,AFD,Fonds de partenariat pour les écosystèmes critiques - renouvellement des contributions UE-AFD,2026-08-17,,
VU,Vanuatu,NZ-1-ACT-0103583,New Zealand Ministry of Foreign Affairs and Trade,Negotiated Partnerships: Tearfund New Zealand (TFNZ) - Phase 2,2026-06-23,,
VU,Vanuatu,XI-IATI-EC_INTPA-2026-PC-82203,European Commission - Directorate-General for International Partnerships,"YUMI GAVMAN: Strengthening Inclusive Local Governance in Tanna, Vanuatu",2026-08-01,,
VU,Vanuatu,FR-3-CZZ377502,AFD,Fonds de partenariat pour les écosystèmes critiques - renouvellement des contributions UE-AFD,2026-08-17,,
VU,Vanuatu,XM-DAC-41301-764484,Food and Agriculture Organization (FAO),Strengthening digital agriculture and innovation for food security and nutrition,2026-09-01,,
VU,Vanuatu,NZ-1-ACT-0103580,New Zealand Ministry of Foreign Affairs and Trade,Negotiated Partnerships: UNICEF NZ - Phase 2,2026-06-26,,
VU,Vanuatu,FR-3-CZZ3775,AFD,Fonds de partenariat pour les écosystèmes critiques - renouvellement des contributions UE-AFD,2026-08-17,,
VU,Vanuatu,XI-IATI-EC_INTPA-2026-PC-87196,European Commission - Directorate-General for International Partnerships,Activity under preparation Expenditure verification of Programme Estimate contracts 446998 and 418309,2026-08-17,,
WS,Samoa,XM-DAC-41114-OUTPUT-01006059,United Nations Development Programme,"PIMS-10481 PPG Niue Infrastructure, Ecosystems and Communities Integrated Project (IECI)",2026-07-20,,
WS,Samoa,XM-DAC-41114-PROJECT-01006059,United Nations Development Programme,"PIMS-10481 PPG Niue Infrastructure, Ecosystems and Communities Integrated Project (IECI)",2026-07-20,,
