reference,title,type,organisation,status,opened,closes,coverage
,RFP for External Audit Services for the WCPFC,RFP,Ministry of Foreign Affairs and Trade,open,"Friday, 4 September 2026 11:00 AM (Pacific/Auckland UTC+12:00)","Friday, 25 September 2026 5:00 PM (Pacific/Auckland UTC+12:00)",On behalf of procurement agent
WPG-0105096,Relief Supplies Logistics (2026 - 2035),NOI,Ministry of Foreign Affairs and Trade,open,"Tuesday, 14 April 2026 3:30 PM (Pacific/Auckland UTC+12:00)","Wednesday, 30 September 2026 5:00 PM (Pacific/Auckland UTC+13:00)",Sole Agency
WPG-0105342,Advance Notice: Vanuatu Resilient Education Infrastructure,NOI,Ministry of Foreign Affairs and Trade,open,"Wednesday, 20 May 2026 4:00 PM (Pacific/Auckland UTC+12:00)","Thursday, 15 October 2026 5:00 PM (Pacific/Auckland UTC+13:00)",Sole Agency
WPG-0105604,ADVANCE NOTICE – Cook Islands Penrhyn Omoka Port Design Consultancy Services (WPG-0105604),NOI,Ministry of Foreign Affairs and Trade,completed,"Monday, 7 September 2026 11:30 AM (Pacific/Auckland UTC+12:00)","Friday, 18 September 2026 5:00 PM (Pacific/Auckland UTC+12:00)",Sole Agency
WPG-0105530,Technical Adviser for National Reserve Bank of Tonga,ROI,Ministry of Foreign Affairs and Trade,completed,"Tuesday, 28 April 2026 5:00 PM (Pacific/Auckland UTC+12:00)","Tuesday, 19 May 2026 5:00 PM (Pacific/Auckland UTC+12:00)",Sole Agency
WPG-0105610,Tuvalu Fisheries Adviser (Offshore),ROI,Ministry of Foreign Affairs and Trade,completed,"Thursday, 21 May 2026 5:30 PM (Pacific/Auckland UTC+12:00)","Sunday, 7 June 2026 5:00 PM (Pacific/Auckland UTC+12:00)",Sole Agency
WPG-0105239,"Principal Advisor, Revenue Management - Niue",ROI,Ministry of Foreign Affairs and Trade,completed,"Friday, 13 March 2026 9:00 AM (Pacific/Auckland UTC+13:00)","Sunday, 5 April 2026 5:00 PM (Pacific/Auckland UTC+12:00)",Sole Agency
,"Pacific Staff Housing - Niue, Ministry of Foreign Affairs and Trade",ROI,Ministry of Foreign Affairs and Trade,completed,"Wednesday, 11 June 2025 4:00 PM (Pacific/Auckland UTC+12:00)","Wednesday, 2 July 2025 5:00 PM (Pacific/Auckland UTC+12:00)",Sole Agency
,"Pacific Staff Housing - Niue, Ministry of Foreign Affairs and Trade",RFP,Ministry of Foreign Affairs and Trade,completed,"Friday, 5 September 2025 4:00 PM (Pacific/Auckland UTC+12:00)","Monday, 10 November 2025 8:00 AM (Pacific/Auckland UTC+13:00)",Sole Agency
,"Pacific Staff Housing - Niue, Ministry of Foreign Affairs and Trade",RFP,Ministry of Foreign Affairs and Trade,completed,"Tuesday, 21 April 2026 3:30 PM (Pacific/Auckland UTC+12:00)","Tuesday, 26 May 2026 6:00 PM (Pacific/Auckland UTC+12:00)",Sole Agency
WPG-0105504,Niue Justice Building Construction,NOI,Ministry of Foreign Affairs and Trade,completed,"Wednesday, 29 April 2026 2:30 PM (Pacific/Auckland UTC+12:00)","Friday, 28 August 2026 5:00 PM (Pacific/Auckland UTC+12:00)",Sole Agency
