country_code,country_name,sector_code,sector_name,disbursements_90d_usd,percentage
CK,Cook Islands,123,Non-communicable diseases,132544.49,16.2
CK,Cook Islands,232,"Energy generation, renewable",119839.07,14.65
CK,Cook Islands,510,General budget support,118738.49,14.52
CK,Cook Islands,151,Government & civil society,107036.35,13.09
CK,Cook Islands,313,Fishing,75677.37,9.25
CK,Cook Islands,122,Basic health,46829.29,5.73
FJ,Fiji,410,Environmental protection,7725050.19,16.78
FJ,Fiji,231,Energy policy,6266388.0,13.61
FJ,Fiji,232,"Energy generation, renewable",4601809.55,10.0
FJ,Fiji,151,Government & civil society,4098228.7,8.9
FJ,Fiji,140,Water & sanitation,3916903.41,8.51
FJ,Fiji,122,Basic health,3593350.19,7.81
FM,Micronesia,220,Communications,762757.0,22.15
FM,Micronesia,140,Water & sanitation,513701.59,14.91
FM,Micronesia,113,Secondary education,368311.75,10.69
FM,Micronesia,236,Energy distribution,366589.49,10.64
FM,Micronesia,232,"Energy generation, renewable",359757.89,10.45
FM,Micronesia,410,Environmental protection,239085.41,6.94
KI,Kiribati,122,Basic health,2204501.13,21.19
KI,Kiribati,140,Water & sanitation,1370005.92,13.17
KI,Kiribati,210,Transport & storage,1209474.23,11.62
KI,Kiribati,740,Disaster prevention & preparedness,1167059.35,11.22
KI,Kiribati,121,Health (general),1151262.31,11.06
KI,Kiribati,160,Other social infrastructure,877196.03,8.43
MH,Marshall Islands,740,Disaster prevention & preparedness,4087618.88,28.04
MH,Marshall Islands,151,Government & civil society,3049952.8,20.92
MH,Marshall Islands,140,Water & sanitation,2949630.51,20.23
MH,Marshall Islands,410,Environmental protection,1860073.99,12.76
MH,Marshall Islands,220,Communications,930960.44,6.39
MH,Marshall Islands,236,Energy distribution,630408.78,4.32
NR,Nauru,210,Transport & storage,508981.09,-822.05
NR,Nauru,410,Environmental protection,174567.6,-281.94
NR,Nauru,232,"Energy generation, renewable",158987.1,-256.78
NR,Nauru,140,Water & sanitation,119108.33,-192.37
NR,Nauru,114,Post-secondary education,16562.47,-26.75
NR,Nauru,430,Multisector,13562.36,-21.9
NU,Niue,210,Transport & storage,142602.01,29.46
NU,Niue,123,Non-communicable diseases,134605.92,27.81
NU,Niue,232,"Energy generation, renewable",59358.92,12.26
NU,Niue,122,Basic health,47143.54,9.74
NU,Niue,121,Health (general),42653.68,8.81
NU,Niue,236,Energy distribution,19827.97,4.1
PG,Papua New Guinea,998,Unallocated / unspecified,19077019.39,29.45
PG,Papua New Guinea,122,Basic health,6240134.74,9.63
PG,Papua New Guinea,160,Other social infrastructure,5651904.6,8.72
PG,Papua New Guinea,210,Transport & storage,4938882.83,7.62
PG,Papua New Guinea,311,Agriculture,4452710.44,6.87
PG,Papua New Guinea,410,Environmental protection,4305155.12,6.65
PW,Palau,410,Environmental protection,113682.83,56.31
PW,Palau,740,Disaster prevention & preparedness,48261.22,23.9
PW,Palau,114,Post-secondary education,12771.82,6.33
PW,Palau,720,Emergency response,9837.33,4.87
PW,Palau,123,Non-communicable diseases,6217.76,3.08
PW,Palau,430,Multisector,5341.75,2.65
SB,Solomon Islands,151,Government & civil society,8151377.25,39.86
SB,Solomon Islands,160,Other social infrastructure,5358733.0,26.21
SB,Solomon Islands,410,Environmental protection,2211757.52,10.82
SB,Solomon Islands,113,Secondary education,1394999.0,6.82
SB,Solomon Islands,140,Water & sanitation,853045.83,4.17
SB,Solomon Islands,740,Disaster prevention & preparedness,809188.23,3.96
TO,Tonga,210,Transport & storage,2384426.08,48.06
TO,Tonga,430,Multisector,1685042.14,33.97
TO,Tonga,140,Water & sanitation,970915.9,19.57
TO,Tonga,236,Energy distribution,334501.8,6.74
TO,Tonga,111,Education (general),266272.08,5.37
TO,Tonga,740,Disaster prevention & preparedness,164069.7,3.31
TV,Tuvalu,210,Transport & storage,3232614.29,66.7
TV,Tuvalu,311,Agriculture,552327.58,11.4
TV,Tuvalu,313,Fishing,532930.38,11.0
TV,Tuvalu,430,Multisector,196878.53,4.06
TV,Tuvalu,740,Disaster prevention & preparedness,105754.0,2.18
TV,Tuvalu,151,Government & civil society,67864.3,1.4
VU,Vanuatu,430,Multisector,3933567.59,29.15
VU,Vanuatu,151,Government & civil society,2716554.74,20.13
VU,Vanuatu,210,Transport & storage,1553125.73,11.51
VU,Vanuatu,740,Disaster prevention & preparedness,1404073.64,10.4
VU,Vanuatu,311,Agriculture,953420.53,7.07
VU,Vanuatu,410,Environmental protection,556755.92,4.13
WS,Samoa,210,Transport & storage,4045515.46,42.45
WS,Samoa,140,Water & sanitation,2190998.34,22.99
WS,Samoa,410,Environmental protection,951686.5,9.99
WS,Samoa,151,Government & civil society,352958.49,3.7
WS,Samoa,311,Agriculture,351990.92,3.69
WS,Samoa,998,Unallocated / unspecified,300459.01,3.15
